AN	Species	Wings	Male	Female	Dimorphism	Source
KX434820.1	Iris_polystictica	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+phylogenetic+systems+of+Mantodea+%28Insecta%3A+Dictyoptera%29&btnG=
NC_024028.1	Leptomantella_albella	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+review+of+the+Leptomantellidae+of+Borneo+%28Insecta%3A+Mantodea%29&btnG=
MG888453.1	Leptomantella_lactea	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+review+of+the+Leptomantellidae+of+Borneo+%28Insecta%3A+Mantodea%29&btnG=
OM202571.1	Leptomantella_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+review+of+the+Leptomantellidae+of+Borneo+%28Insecta%3A+Mantodea%29&btnG=
OK480879.1	Leptomantella_tonkinae	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+review+of+the+Leptomantellidae+of+Borneo+%28Insecta%3A+Mantodea%29&btnG=
PP072306.1	Majangella_moultoni	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+case+of+the+higher-level+classification+of+praying+mantises+%28Mantodea%29+obscuring+the+synonymy+of+Majangella+Giglio-Tos%2C+1915+%28Liturgusidae%2C+Liturgusinae%29+and+Ephippiomantis+Werner%2C+1922+%28Hymenopodidae%2C+Acromantinae%29&btnG=
NC_030265.1	Mantis_religiosa	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
MN267041.1	Mekongomantis_quinquespinosa	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+new+species+and+two+new+species+records+of+Hierodulinae+from+China%2C+with+a+revision+of+Hierodula+chinensis+%28Mantodea%3A+Mantidae%29&btnG=
MW357300.1	Mesopteryx_alata	M	M	M	no	https://www.researchgate.net/publication/362278553_Illustrated_description_of_the_mantis_Mesopteryx_platycephala_Mantodea_Mantidae_collected_from_West_Bengal_India
KX434813.1	Mesopteryx_alata_2	M	M	M	no	https://www.researchgate.net/publication/362278553_Illustrated_description_of_the_mantis_Mesopteryx_platycephala_Mantodea_Mantidae_collected_from_West_Bengal_India
KX434871.1	Metallyticus_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+systematics+of+Mantodea+revisited%3A+an+updated+classification+incorporating+multiple+data+sources+%28Insecta%3A+Dictyoptera%29&btnG=
MG888455.1	Metallyticus_splendidus	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+systematics+of+Mantodea+revisited%3A+an+updated+classification+incorporating+multiple+data+sources+%28Insecta%3A+Dictyoptera%29&btnG=
KX434808.1	Miomantis_caffra	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Citizen+scientists+track+a+charismatic+carnivore%3A+Mapping+the+spread+and+impact+of+the+South+African+Mantis+%28Miomantidae%2C+Miomantis+caffra%29+in+Australia&btnG=
OM202562.1	Miromantis_sp.	M	M	M	no	https://www.inaturalist.org/taxa/749501-Miromantis-yunnanensis/browse_photos
KX434810.1	Miromantis_yunnanensis	M	M	M	no	https://www.inaturalist.org/taxa/749501-Miromantis-yunnanensis/browse_photos
KX434858.1	Neodanuria_bolauana	M	M	na	na	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=An+annotated+type+catalogue+of+praying+mantises+%28Mantodea%29++in+the+Zoological+Museum+Hamburg+%28ZMH%29&btnG=
PP072307.1	Odontomantis_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=RECORDS+OF+PRAYING+MANTIDS+%28INSECTA%3A+MANTODEA%29+FROM+TWO+AREAS+OF+CENTRAL+KALIMANTAN%2C+AND+NOTES+ON+BORNEAN++ODONTOMANTIS+AND+HIERODULA&btnG=
KX434842.1	Orthodera_ministralis	B	M	B	yes	https://grasslands.ecolinc.vic.edu.au/fieldguide/fauna/garden-mantis#details
NC_086621.1	Otomantis_scutigera	M	M	M	no	https://theprayingmantis.co.uk/product/otomantis-scutigera-african-boxer-mantis-3rd-instar-1-x-nymph/
KX434856.1	Otomantis_sp.	M	M	M	no	https://theprayingmantis.co.uk/product/otomantis-scutigera-african-boxer-mantis-3rd-instar-1-x-nymph/
NC_069811.1	Pachymantis_bicingulata	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=R%C3%A9vision+du+genre+Pachymantis+Saussure%2C+1871++%28Mantodea%2C+Hymenopodidae%29&btnG=
PP438770.1	Panurgica_fratercula	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+type+material+of+Mantodea+%28praying+mantises%29+deposited+in+the+National+Museum+of+Natural+History%2C++Smithsonian+Institution%2C+USA&btnG=
KY689117.1	Parablepharis_kuhlii	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Contribution+%C3%A0+la+connaissance+du+genre+Parablepharis++Saussure%2C+1870+%28Mantodea%29%2B&btnG=
MG888456.1	Parablepharis_kuhlii_asiatica	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Contribution+%C3%A0+la+connaissance+du+genre+Parablepharis++Saussure%2C+1870+%28Mantodea%29%2B&btnG=
NC_066978.1	Parasphendale_agrionina	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Yager+DD%2C+May+ML.+1990.+Ultrasound-triggered%2C+flight-gated+evasive+maneuvers+in+the+praying+mantis%2C+Parasphendale+agrionina+Gerst..+II.+Tethered+flight.+J+Exp+Biol+152%3A41%E2%80%9358.&btnG=
MG888457.1	Paratoxodera_gigliotosi	M	M	M	no	https://www.researchgate.net/publication/363493732_New_records_of_Toxoderid_species_Dictyoptera_Mantodea_Toxoderidae_from_Thailand
NC_037697.1	Paratoxodera_polyacantha	M	M	M	no	https://www.researchgate.net/publication/363493732_New_records_of_Toxoderid_species_Dictyoptera_Mantodea_Toxoderidae_from_Thailand	
KX434870.1	Parymenopus_davisoni	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Parymenopus+davisoni+Wood-Mason+synonym+of+Helvia+cardinalis++St%C3%A5l+%28Insecta%3A+Mantodea%3A+Hymenopodidae%29&btnG=
NC_086795.1	Phyllocrania_paradoxa	B	M	B	yes	https://www.researchgate.net/publication/369475577_The_impact_of_the_river_Comoe_and_its_tropical_surrounding_gallery_forest_on_the_praying_mantis_composition_of_the_Comoe_National_Park_Ivory_Coast
NC_086622.1	Phyllothelys_breve	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Taxonomic+revision+of+the+genus+Phyllothelys+Wood-Mason+%28Mantodea%3A+Hymenopodidae%29+from+China&btnG=
MT024239.1	Phyllothelys_breve_2	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Taxonomic+revision+of+the+genus+Phyllothelys+Wood-Mason+%28Mantodea%3A+Hymenopodidae%29+from+China&btnG=
KX091863.1	Phyllothelys_shaanxiense	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Taxonomic+revision+of+the+genus+Phyllothelys+Wood-Mason+%28Mantodea%3A+Hymenopodidae%29+from+China&btnG=
NC_086824.1	Phyllothelys_sinensis	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Taxonomic+revision+of+the+genus+Phyllothelys+Wood-Mason+%28Mantodea%3A+Hymenopodidae%29+from+China&btnG=
KY689119.1	Phyllothelys_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Taxonomic+revision+of+the+genus+Phyllothelys+Wood-Mason+%28Mantodea%3A+Hymenopodidae%29+from+China&btnG=
NC_086825.1	Phyllothelys_werneri	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Taxonomic+revision+of+the+genus+Phyllothelys+Wood-Mason+%28Mantodea%3A+Hymenopodidae%29+from+China&btnG=
NC_051490.1	Pliacanthopus_bimaculatus	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=New+and+little-known+species+of+genus+Pliacanthopus+Giglio-Tos+%28Dictyoptera%3A+Mantodea%3A+Nanomantidae%29&btnG=
KX434821.1	Plistospilota_sp.	M	M	M	no	https://www.inaturalist.org/taxa/196829-Plistospilota-guineensis
KX434851.1	Pnigomantis_medioconstricta	M	M	M	no	https://www.inaturalist.org/taxa/749971-Pnigomantis-medioconstricta
KX434863.1	Polyspilota_griffinii	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+survey+of+the+praying+mantises+of+Rwanda%2C+including+new+records+%28Insecta%2C+Mantodea%29&btnG=
KX434839.1	Popa_spurca	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+survey+of+the+praying+mantises+of+Rwanda%2C+including+new+records+%28Insecta%2C+Mantodea%29&btnG=
KX434855.1	Prohierodula_picta	B	M	B	yes	https://theprayingmantis.co.uk/prohierodula-picta_1st-pairing_fb/
KX434868.1	Prohierodula_sp.	B	M	B	yes	https://theprayingmantis.co.uk/prohierodula-picta_1st-pairing_fb/
PV564197.1	Pseudacanthops_lobipes	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Synopsis+of+the+Neotropical+mantid+genus+Pseudacanthops+Saussure%2C+1870%2C+with+the+description+of+three+new+species+%28Mantodea%3A+Acanthopidae%29&btnG=
NC_086821.1	Pseudempusa_pinnapavonis	B	M	B	yes	https://www.alamy.com/stock-photo/pseudempusa-pinnapavonis.html?sortBy=relevant
KX434847.1	Pseudempusa_pinnapavonis_2	B	M	B	yes	https://www.alamy.com/stock-photo/pseudempusa-pinnapavonis.html?sortBy=relevant
KX434811.1	Pseudocreobotra_wahlbergii	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Many-to-one+mapping+in+Mantodea%3A+camouflage+strategy+and+phylogeny+drive+strike+variation+in+prey+capture+with+raptorial+forelegs&btnG=
KX434841.1	Pseudogalepsus_sp.	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+phylogenetic+systems+of+Mantodea+%28Insecta%3A+Dictyoptera%29&btnG=
KX434838.1	Pseudovates_chlorophaea	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Many-to-one+mapping+in+Mantodea%3A+camouflage+strategy+and+phylogeny+drive
MW357301.1	Pseudovates_peruviana	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Many-to-one+mapping+in+Mantodea%3A+camouflage+strategy+and+phylogeny+drive
16CI1f	Pseudoyersinia_betancuriae	B	B	B	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+snake-tail+mantis%3A+a+new+endemic+species+of+dwarf+mantis%2C+Ameles+serpentiscauda+sp.+nov.%2C+reveals+a+distinctive+mating+behavior+and+complex+communication+patterns&btnG=
NC_045876.1	Psychomantis_borneensis	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Of+flowers+and+twigs%3A+phylogenetic+revision+of+the+plant-mimicking+praying+mantises+%28Mantodea%3A+Empusidae+and+Hymenopodidae%29+with+a+new+suprageneric+classification&btnG=
NC_077477.1	Raptrix_fusca	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Remarks+on+the+genus+Raptrix+%28Mantodea%2C+Acontiothespinae%29+with+a+description+of+two+new+species&btnG=
NC_034282.1	Rhombodera_brachynota	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
KX091864.1	Rhombodera_latipronotum	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
NC_051489.1	Rhombodera_longa	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
KX619654.1	Rhombodera_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
NC_034284.1	Rhombodera_valida	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
RBE05	Rivetina_baetica	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+systematics+of+Mantodea+revisited%3A+an+updated+classification+incorporating+multiple+data+sources+%28Insecta%3A+Dictyoptera%29&btnG=
NC_037206.1	Sceptuchus_simplex	M	M	na	na	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=RECORDS+OF+PRAYING+MANTIDS+%28INSECTA%3A+MANTODEA%29+FROM+TWO+AREAS+OF+CENTRAL+KALIMANTAN%2C+AND+NOTES+ON+BORNEAN++ODONTOMANTIS+AND+HIERODULA&btnG=
NC_037207.1	Schizocephala_bicornis	M	M	na	na	https://www.researchgate.net/publication/390166521_A_checklist_of_Mantodea_for_Myanmar_with_the_first_record_of_Schizocephala_bicornis_Mantodea_Eremiaphilidae_for_the_country	
NC_037235.1	Sibylla_pretiosa	M	M	M	no	https://theprayingmantis.co.uk/product/sibylla-pretiosa-the-cryptic-mantis-3rd-instar/
NC_063851.1	Sinomantis_denticulata	M	M	M	no	https://www.gbif.org/en/species/1403920
KX434860.1	Sinomiopteryx_grahami	M	M	A	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+new+species+of+the+genus+Arria+St%C3%A5l%2C+1877+%28Mantodea%2C+Haaniidae%29+from+China+with+notes+on+the+tribe+Arriini+Giglio-Tos%2C+1919&btnG=
MG888464.1	Sinomiopteryx_guangxiensis	M	M	A	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+new+species+of+the+genus+Arria+St%C3%A5l%2C+1877+%28Mantodea%2C+Haaniidae%29+from+China+with+notes+on+the+tribe+Arriini+Giglio-Tos%2C+1919&btnG=
OM202561.1	Sinomiopteryx_sp.	M	M	A	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+new+species+of+the+genus+Arria+St%C3%A5l%2C+1877+%28Mantodea%2C+Haaniidae%29+from+China+with+notes+on+the+tribe+Arriini+Giglio-Tos%2C+1919&btnG=
NC_037204.1	Sphodromantis_lineola	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Manual+of+praying+mantis+morphology%2C+nomenclature%2C++and+practices+%28Insecta%2C+Mantodea%29&btnG=
KX434840.1	Sphodromantis_viridis	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Manual+of+praying+mantis+morphology%2C+nomenclature%2C++and+practices+%28Insecta%2C+Mantodea%29&btnG=
KX434816.1	Spilomantis_occipitalis	M	M	M	no	https://www.inaturalist.org/taxa/1097211-Spilomantis-occipitalis/browse_photos
KX091854.1	Spilomantis_occipitalis_2	M	M	M	no	https://www.inaturalist.org/taxa/1097211-Spilomantis-occipitalis/browse_photos
MW357302.1	Stagmatoptera_biocellata	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=ONTOGENY+OF+THE+BEHAVIOUR+IN+THE+PRAYING++MANTIS&btnG=
NC_086820.1	Statilia_agresta	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=ADDITIONS+TO+THE+MANTID+FAUNA+%28INSECTA%3A+MANTODEA%29+OF+PENCH+NATIONAL+PARK%2C+MAHARASHTRA%2C+INDIA&btnG=
NC_065761.1	Statilia_flavobrunnea	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=ADDITIONS+TO+THE+MANTID+FAUNA+%28INSECTA%3A+MANTODEA%29+OF+PENCH+NATIONAL+PARK%2C+MAHARASHTRA%2C+INDIA&btnG=
NC_065760.1	Statilia_maculata	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=ADDITIONS+TO+THE+MANTID+FAUNA+%28INSECTA%3A+MANTODEA%29+OF+PENCH+NATIONAL+PARK%2C+MAHARASHTRA%2C+INDIA&btnG=
KU201316.1	Statilia_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=ADDITIONS+TO+THE+MANTID+FAUNA+%28INSECTA%3A+MANTODEA%29+OF+PENCH+NATIONAL+PARK%2C+MAHARASHTRA%2C+INDIA&btnG=
OL414957.1	Statilia_sp._2	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=ADDITIONS+TO+THE+MANTID+FAUNA+%28INSECTA%3A+MANTODEA%29+OF+PENCH+NATIONAL+PARK%2C+MAHARASHTRA%2C+INDIA&btnG=
KY689118.1	Stenotoxodera_porioni	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=NEW+RECORDS+OF+PRAYING+MANTIS+%28MANTODEA%29++FROM+THAILAND&btnG=
NC_007702.1	Tamolanica_tamolana	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+phylogenetic+systems+of+Mantodea+%28Insecta%3A+Dictyoptera%29&btnG=
KX434862.1	Tarachomantis_alaotrana	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Les+petites+Tarachomantis+Brancsik%2C+1893+%28Dictyoptera+%3A+Mantidae%29+de+Madagascar+et+de+l%E2%80%99archipel+des+Comores&btnG=
KX434817.1	Taumantis_sigiana	B	M	B	yes	https://www.littlebigworlds.com/systematik/miomantidae/taumantis-sigiana/	
NC_065759.1	Tenodera_angustipennis	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
OK542393.1	Tenodera_aridifolia_brevicollis	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
NC_030266.1	Tenodera_sinensis	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
OM202552.1	Tenodera_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+taxonomic+review+of+the+order+Mantodea+in+Korea+based+on+morphology+and+DNA+barcodes&btnG=
NC_086832.1	Theopompa_maculosa	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+systematics+of+Mantodea+revisited%3A+an+updated+classification+incorporating+multiple+data+sources+%28Insecta%3A+Dictyoptera%29&btnG=
KX434849.1	Theopompa_milligratulata	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+systematics+of+Mantodea+revisited%3A+an+updated+classification+incorporating+multiple+data+sources+%28Insecta%3A+Dictyoptera%29&btnG=
NC_086827.1	Theopompa_ophthalmica	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+systematics+of+Mantodea+revisited%3A+an+updated+classification+incorporating+multiple+data+sources+%28Insecta%3A+Dictyoptera%29&btnG=
KU201314.1	Theopompa_sp.	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+systematics+of+Mantodea+revisited%3A+an+updated+classification+incorporating+multiple+data+sources+%28Insecta%3A+Dictyoptera%29&btnG=
KX434829.1	Theopropus_cattulus	M	M	M	no	https://entomoresin.com/1pdf/mantis3.pdf
KY689125.1	Theopropus_elegans	M	M	M	no	https://entomoresin.com/1pdf/mantis3.pdf
KX434818.1	Theopropus_rubrobrunneus	M	M	M	no	https://entomoresin.com/1pdf/mantis3.pdf
NC_086823.1	Theopropus_sinecus	M	M	M	no	https://entomoresin.com/1pdf/mantis3.pdf
OM202564.1	Theopropus_sp.	M	M	M	no	https://entomoresin.com/1pdf/mantis3.pdf
KX434837.1	Toxodera_hauseri	B	B	B	no	https://journal.nsm.or.th/sites/default/files/2025-08/THNHMJ%2019%281%29-04.pdf
NC_037205.1	Tropidomantis_tenera	M	M	M	no	https://entomoresin.com/1pdf/mantis3.pdf
MW357303.1	Yersinia_mexicana	M	M	A	yes	https://entomoresin.com/1pdf/mantis3.pdf
