AN	Species	Wings	Male	Female	Dimorphism	Photos_Male	Photos_Female
KX434871.1	Metallyticus_sp.	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003487_Metallyticus_splendidus_M_DH_50mm_1	2.5.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003488_Metallyticus_splendidus_F_DH_50mm_1	2.5.jpg_"
MG888455.1	Metallyticus_splendidus	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003487_Metallyticus_splendidus_M_DH_50mm_1	2.5.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003488_Metallyticus_splendidus_F_DH_50mm_1	2.5.jpg_"
KX434808.1	Miomantis_caffra	B	M	B	yes	https://www.inaturalist.org/taxa/207583-Miomantis-caffra/browse_photos_	..
OM202562.1	Miromantis_sp.	M	M	M	no	https://www.inaturalist.org/taxa/479762-Miromantis/browse_photos_	..
KX434810.1	Miromantis_yunnanensis	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Miromantis_mirandula_M_DH_100_1	1.jpg_"	https://www.inaturalist.org/observations/255289896_
KX434858.1	Neodanuria_bolauana	B	B	B	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Danuria_bolauana_Holotype_M_DH_50mm_1	3x_F5.jpg_"	
PP072307.1	Odontomantis_sp.	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC004564_DH_100mm_1	1.5.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003982_DH_100mm_1	2.jpg_"
KX434842.1	Orthodera_ministralis	M	M	M	no	https://www.inaturalist.org/observations/39342861_	https://www.inaturalist.org/observations/25056118_
NC_086621.1	Otomantis_scutigera	M	M	M	no	https://www.inaturalist.org/taxa/680408-Otomantis-scutigera/browse_photos	..
KX434856.1	Otomantis_sp.	M	M	M	no	https://www.inaturalist.org/taxa/680408-Otomantis-scutigera/browse_photos	
NC_069811.1	Pachymantis_bicingulata	M	M	M	no	https://www.inaturalist.org/observations/359738484_	https://www.inaturalist.org/observations/305933005_
PP438770.1	Panurgica_fratercula	B	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/USNMENT00873987_DH_100mm_1	1.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Panurgica_compressicollis_Holotype_F_DH_50mm_1	2_F5.jpg_"
KY689117.1	Parablepharis_kuhlii	B	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC005126_Parablepharis_kuhlii_DH_50mm_1	4.jpg_"	https://www.inaturalist.org/observations/309164716_
MG888456.1	Parablepharis_kuhlii_asiatica	B	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC005126_Parablepharis_kuhlii_DH_50mm_1	4.jpg_"	https://www.inaturalist.org/observations/309164716_
NC_066978.1	Parasphendale_agrionina	B	M	B	yes	https://www.inaturalist.org/taxa/509530-Parasphendale-agrionina/browse_photos_	..
MG888457.1	Paratoxodera_gigliotosi	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Paratoxodera_gigliotosi_HM_DH_50mm_1	4.jpg"	
NC_037697.1	Paratoxodera_polyacantha	M	M	M	no		
KX434870.1	Parymenopus_davisoni	M	M	M	no	https://www.inaturalist.org/taxa/749330-Helvia-cardinalis/browse_photos_	..
NC_086795.1	Phyllocrania_paradoxa	B	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC000550_Phyllocrania_paradoxa_M_DH_50mm_1	2.5.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Phyllocrania_paradoxa_holotype_F_DH_50mm_1	2.jpg_"
NC_086622.1	Phyllothelys_breve	M	M	M	no	https://www.inaturalist.org/taxa/748956-Phyllothelys-breve/browse_photos_	..
MT024239.1	Phyllothelys_breve_2	M	M	M	no	https://www.inaturalist.org/taxa/748956-Phyllothelys-breve/browse_photos_	..
KX091863.1	Phyllothelys_shaanxiense	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Taxonomic+revision+of+the+genus+Phyllothelys+Wood-Mason+%28Mantodea%3A+Hymenopodidae%29+from+China&btnG=_	
NC_086824.1	Phyllothelys_sinensis	M	M	M	no	https://www.inaturalist.org/taxa/1610876-Phyllothelys-sinense/browse_photos_	..
KY689119.1	Phyllothelys_sp.	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003931_DH_100mm_1	2.jpg_"	
NC_086825.1	Phyllothelys_werneri	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Phyllothelys_werneri_Syntype_M_DH_50mm_1	1.jpg"	
NC_051490.1	Pliacanthopus_bimaculatus	M	M	M	no	https://www.inaturalist.org/observations/223516182_	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/MNHN-6_Xanthomantis_bimaculata_F_DH_100mm_1	1.jpg_"
KX434821.1	Plistospilota_sp.	M	M	M	no	https://www.inaturalist.org/taxa/196830-Plistospilota/browse_photos_	..
KX434851.1	Pnigomantis_medioconstricta	M	M	M	no	https://www.inaturalist.org/observations/26311078_	https://www.inaturalist.org/observations/300321497_
KX434863.1	Polyspilota_griffinii	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=A+survey+of+the+praying+mantises+of+Rwanda%2C+including+new+records+%28Insecta%2C+Mantodea%29&btnG=_	
KX434839.1	Popa_spurca	B	M	B	yes		"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Popa_batesi_SF_DH_50mm_1	3.jpg_"
KX434855.1	Prohierodula_picta	B	M	B	yes	https://www.inaturalist.org/observations/115088506_	https://www.inaturalist.org/observations/261532160_
KX434868.1	Prohierodula_sp.	B	M	B	yes	https://www.inaturalist.org/observations/115088506_	https://www.inaturalist.org/observations/261532160_
PV564197.1	Pseudacanthops_lobipes	B	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Pseudacanthops_lobipes_holotype_M_DH_50mm_1	2.jpg_"	
NC_086821.1	Pseudempusa_pinnapavonis	B	M	B	yes	https://www.inaturalist.org/observations/36124983	https://www.inaturalist.org/observations/283857922_
KX434847.1	Pseudempusa_pinnapavonis_2	B	M	B	yes	https://www.inaturalist.org/observations/36124983_	https://www.inaturalist.org/observations/283857922_
KX434811.1	Pseudocreobotra_wahlbergii	M	M	M	no	https://www.inaturalist.org/observations/9074254_	https://www.inaturalist.org/observations/16478983_
KX434841.1	Pseudogalepsus_sp.	B	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/NHMW-18_Pseudogalepsus_modestior_M_DH_100mm_1	1.5.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/NHMW-18_Pseudogalepsus_dispar_F_DH_100mm_1	1.5.jpg_"
KX434838.1	Pseudovates_chlorophaea	M	M	M	no	https://www.inaturalist.org/taxa/745988-Pseudovates-chlorophaea/browse_photos_	https://www.inaturalist.org/observations/111875484_
MW357301.1	Pseudovates_peruviana	M	M	M	no	https://www.inaturalist.org/observations/295913069_	https://www.inaturalist.org/observations/157964824_
16CI1f	Pseudoyersinia_betancuriae	A	A	A	no	https://www.inaturalist.org/observations/36106582_	https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Pseudoyersinia_betancuriae_Holotype_F_DH_65mm_1x_F5.jpg_
NC_045876.1	Psychomantis_borneensis	M	M	M	no	https://www.inaturalist.org/observations/249462258_	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003985_Psychomantis_borneensis_F_DH_50mm_1	3.jpg_"
NC_077477.1	Raptrix_fusca	B	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Acontista_westwoodi_Syntype_M_DH_100mm_1	2_F5.jpg"	
NC_034282.1	Rhombodera_brachynota	M	M	M	no		
KX091864.1	Rhombodera_latipronotum	M	M	M	no	https://www.inaturalist.org/observations/346776159_	https://www.inaturalist.org/observations/339152946_
NC_051489.1	Rhombodera_longa	M	M	M	no		
KX619654.1	Rhombodera_sp.	M	M	M	no	https://www.inaturalist.org/taxa/489507-Rhombodera/browse_photos_	
NC_034284.1	Rhombodera_valida	M	M	M	no	https://www.inaturalist.org/observations/112909974_	
RBE05	Rivetina_baetica	B	M	B	yes	https://www.inaturalist.org/observations/300506185_	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/NHMW_Rivetina_baetica_F_DH_50mm_1	2.jpg_"
NC_037206.1	Sceptuchus_simplex	M	M	M	no		"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/NHMW-36_Sceptuchus_sinecus_F_DH_100mm_1	1.jpg_"
NC_037207.1	Schizocephala_bicornis	M	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003336_DH_50mm_1	5.jpg"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003337_Schizocephala_DH_50mm_1	6.jpg_"
NC_037235.1	Sibylla_pretiosa	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003533_DH_50mm_1	2.5.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC004205_DH_50mm_1	3.jpg_"
NC_063851.1	Sinomantis_denticulata	M	M	M	no		"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/NHMW-37_Sinomantis_denticulata_PF_DH_100mm_1	1.5.jpg_"
KX434860.1	Sinomiopteryx_grahami	M	M	A	yes	https://www.inaturalist.org/taxa/750668-Sinomiopteryx-grahami/browse_photos_	..
MG888464.1	Sinomiopteryx_guangxiensis	M	M	A	yes	https://www.inaturalist.org/observations/248606358_	https://www.inaturalist.org/observations/248437696_
OM202561.1	Sinomiopteryx_sp.	M	M	A	yes	https://www.inaturalist.org/observations/248606358_	https://www.inaturalist.org/observations/248437696_
NC_037204.1	Sphodromantis_lineola	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Sphodromantis_lineola_pinguis_PM_DH_50mm_1	2.5.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Sphodromantis_lineola_pinguis_HM_DH_50mm_1	2.5.jpg_"
KX434840.1	Sphodromantis_viridis	M	M	M	no	https://www.inaturalist.org/observations/112194670_	https://www.inaturalist.org/observations/43106475_
KX434816.1	Spilomantis_occipitalis	M	M	M	no	https://www.inaturalist.org/observations/93026115_	..
KX091854.1	Spilomantis_occipitalis_2	M	M	M	no	https://www.inaturalist.org/observations/93026116_	..
MW357302.1	Stagmatoptera_biocellata	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Stagmatoptera_biocellata_M_DV_50mm_1	4.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Stagmatoptera_biocellata_HF_DH_50mm_1	4.jpg_"
NC_086820.1	Statilia_agresta	M	M	M	no		
NC_065761.1	Statilia_flavobrunnea	M	M	M	no	https://www.inaturalist.org/observations/305987950_	https://www.inaturalist.org/observations/279648006
NC_065760.1	Statilia_maculata	M	M	M	no	https://www.inaturalist.org/observations/94523717_	..
KU201316.1	Statilia_sp.	M	M	M	no		"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC004563_Statilia_sp_F_DH_50mm_1	4.jpg_"
OL414957.1	Statilia_sp._2	M	M	M	no		"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC004563_Statilia_sp_F_DH_50mm_1	4.jpg_"
KY689118.1	Stenotoxodera_porioni	M	M	M	no	https://www.inaturalist.org/observations/152635338_	
NC_007702.1	Tamolanica_tamolana	M	M	M	no	https://www.inaturalist.org/observations/3217594_	https://www.inaturalist.org/observations/65795282_
KX434862.1	Tarachomantis_alaotrana	M	M	M	no	https://www.inaturalist.org/taxa/750057-Tarachomantis-alaotrana/browse_photos_	..
KX434817.1	Taumantis_sigiana	B	M	B	yes	https://www.littlebigworlds.com/systematik/miomantidae/taumantis-sigiana/_	..
NC_065759.1	Tenodera_angustipennis	M	M	M	no		https://www.inaturalist.org/observations/18776729_
OK542393.1	Tenodera_aridifolia_brevicollis	M	M	M	no	https://www.inaturalist.org/observations/47228337_	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Mantis_japonica_holotype_F_DH_50mm_1	4x_F5.jpg_"
NC_030266.1	Tenodera_sinensis	M	M	M	no	https://www.inaturalist.org/observations/135886284_	https://www.inaturalist.org/observations/193572823_
OM202552.1	Tenodera_sp.	M	M	M	no	https://www.inaturalist.org/observations/135886284_	https://www.inaturalist.org/observations/193572823_
NC_086832.1	Theopompa_maculosa	B	M	B	yes	https://www.inaturalist.org/observations/222070053_	..
KX434849.1	Theopompa_milligratulata	B	M	B	yes		
NC_086827.1	Theopompa_ophthalmica	B	M	B	yes		"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Theopompa_blanchardi_Holotype_F_DH_50mm_1	3.jpg_"
KU201314.1	Theopompa_sp.	B	M	B	yes		
KX434829.1	Theopropus_cattulus	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Creobroter_cattulus_Holotype_M_DH_100mm_1	1_F5.jpg"	
KY689125.1	Theopropus_elegans	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Creobroter_elegans_Holotype_M_DH_100mm_1	1.jpg"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC002149_DH_50mm_1	3.jpg"
KX434818.1	Theopropus_rubrobrunneus	M	M	M	no	https://www.inaturalist.org/observations/66961505_	https://www.inaturalist.org/observations/59201522_
NC_086823.1	Theopropus_sinecus	M	M	M	no	https://www.inaturalist.org/observations/233690782	https://www.inaturalist.org/observations/147262807_
OM202564.1	Theopropus_sp.	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC004569_Theopropus_sp_M_DH_100mm_1	2.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/USNMENT01073154_Phyllothelys_westwoodi_DH_50mm_1	2.5.jpg_"
KX434837.1	Toxodera_hauseri	B	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Toxodera_hauseri_HM_DH_50mm_1	4.jpg_"	
NC_037205.1	Tropidomantis_tenera	M	M	M	no		https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/NRM-MANT0000448_Tropidomantis_tenera_dors.jpg_
MW357303.1	Yersinia_mexicana	M	M	A	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Yersinia_mexicanus_HM_DH_100mm_1	2.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/USNMENT00874552_Yersinia_mexicana_F_DH_100mm_1	1.5.jpg_"
